OBJECTID,REGC2016,REGC2016_N,AREA_SQ_KM,LAND_SQ_KM,Shape_Leng,Shape_Area
1,01,Northland Region,12510.3503448,12497.920909,3319106.60372,12510335218.9
2,02,Auckland Region,4940.87564219,4939.80487291,2879734.2615,4940868431.11
3,03,Waikato Region,24578.1773543,23899.793017,2176997.0557,24578168520.7
4,04,Bay of Plenty Region,12280.4622375,12070.5112007,1401444.43506,12280462095.1
5,05,Gisborne Region,8385.81607685,8385.81607685,689548.619971,8385817041.43
6,06,Hawke's Bay Region,14191.2980327,14137.2062548,948825.084625,14191292849.5
7,07,Taranaki Region,7254.31591194,7254.31591194,536117.346449,7254313417.2
8,08,Manawatu-Wanganui Region,22220.5035992,22220.5035992,1118548.23292,22220513674.5
9,09,Wellington Region,8119.51000701,8048.61845526,679342.191538,8119507161.68
10,12,West Coast Region,23319.6479529,23243.8117612,1723902.75412,23319649459.2
11,13,Canterbury Region,45207.2014192,44508.4878538,1848135.98158,45207204276.6
12,14,Otago Region,31904.9841268,31208.9464048,1504574.36891,31904982312.4
13,15,Southland Region,31841.2008154,31195.1303234,3623211.33226,31841193889.8
14,16,Tasman Region,9649.73356466,9616.22807566,1049599.53635,9649727891.14
15,17,Nelson Region,424.416146944,424.416146944,170777.048082,424415694.881
16,18,Marlborough Region,10470.4613879,10457.6710172,2306311.49213,10470474707.3